city,lat,lng,country,iso2,admin_name,Regions,population,population_proper,cases,"(Upper tier) total cumulative confirmed covid cases per 100,000 population","(Lower tier) total cumulative confirmed covid cases per 100,000 population"
Kings Langley,51.7156,-0.4569,United Kingdom,GB,Hertfordshire,,5072,5072,,10114.00,
Harleston,52.4024,1.2996,United Kingdom,GB,Norfolk,,5067,5067,,7226.30,
Dartmouth,50.351,-3.579,United Kingdom,GB,Devon,,5064,5064,,6363.60,
Harlescott,52.7365,-2.7226,United Kingdom,GB,Shropshire,,5060,5060,,7681.30,7731.1
Turriff,57.539,-2.4611,United Kingdom,GB,Aberdeenshire,,5060,4960,,4989.60,5108.5
Sheriff Hill,54.939,-1.586,United Kingdom,GB,Gateshead,,5051,5051,,12634.80,12696.7
Treforest,51.5878,-3.3222,United Kingdom,GB,Rhondda Cynon Taff,,5050,5050,,,
Earlswood,51.228,-0.171,United Kingdom,GB,Surrey,,5049,5049,,9069.00,
Duffield,52.989,-1.489,United Kingdom,GB,Derbyshire,,5046,5046,,9964.20,
Chipping Sodbury,51.538,-2.394,United Kingdom,GB,South Gloucestershire,,5045,5045,,10000.10,10020.6
Whiston,53.4,-1.32,United Kingdom,GB,Rotherham,,5042,5042,,12681.10,12746.4
Wirksworth,53.082,-1.574,United Kingdom,GB,Derbyshire,,5038,5038,,9964.20,
Shipston on Stour,52.06,-1.623,United Kingdom,GB,Warwickshire,,5038,5038,,9523.70,
Pyrford,51.3146,-0.5064,United Kingdom,GB,Surrey,,5022,5022,,9069.00,
Heage,53.05,-1.447,United Kingdom,GB,Derbyshire,,5013,5013,,9964.20,
Henfield,50.933,-0.277,United Kingdom,GB,West Sussex,,5012,5012,,8134.30,
Gresford,53.087,-2.966,United Kingdom,GB,Wrexham,,5010,5010,,11698.20,11773.9
Blackrod,53.5898,-2.5809,United Kingdom,GB,Bolton,,5001,5001,,14568.00,14613.5
Marston Green,52.465,-1.74,United Kingdom,GB,Solihull,,5000,5000,,11884.40,11937.7
Barton-le-Clay,51.9669,-0.4241,United Kingdom,GB,Central Bedfordshire,,5000,5000,,9142.60,9178.3
Galston,55.6004,-4.3798,United Kingdom,GB,East Ayrshire,,5000,4740,,9672.70,9799.3
Sacriston,54.817,-1.626,United Kingdom,GB,Durham,,4999,4999,,,
Thirsk,54.2327,-1.342,United Kingdom,GB,North Yorkshire,,4998,4998,,8686.00,
Loughor,51.6626,-4.0646,United Kingdom,GB,Swansea,,4991,4991,,10262.70,10364.5
Hirwaun,51.7386,-3.4989,United Kingdom,GB,Rhondda Cynon Taff,,4990,4990,,,
Sandwich,51.2747,1.3389,United Kingdom,GB,Kent,,4985,4985,,10120.00,
Speldhurst,51.1516,0.2219,United Kingdom,GB,Kent,,4978,4978,,10120.00,
Helsby,53.273,-2.77,United Kingdom,GB,Cheshire West and Chester,,4972,4972,,10519.70,10577.8
Hurlford,55.5985,-4.452,United Kingdom,GB,East Ayrshire,,4968,4620,,9672.70,9799.3
Hilperton,51.33,-2.184,United Kingdom,GB,Wiltshire,,4967,4967,,6775.20,6811.4
New Tredegar,51.7217,-3.2403,United Kingdom,GB,Caerphilly,,4966,4966,,9757.30,9848.6
Llangennech,51.693,-4.092,United Kingdom,GB,Carmarthenshire,,4964,4964,,7994.30,8090.6
Alva,56.153,-3.7996,United Kingdom,GB,Clackmannanshire,,4960,4600,,9791.40,9927.9
Silverdale,53.0159,-2.2675,United Kingdom,GB,Staffordshire,,4957,4957,,10600.20,
Bromham,52.1454,-0.5298,United Kingdom,GB,Bedford,,4957,4957,,12002.00,12035.2
Hildenborough,51.214,0.242,United Kingdom,GB,Kent,,4954,4954,,10120.00,
Forest Row,51.0982,0.0334,United Kingdom,GB,East Sussex,,4954,4954,,8286.60,
Buntingford,51.9445,-0.016,United Kingdom,GB,Hertfordshire,,4948,4948,,10114.00,
Lyneham,51.507,-1.966,United Kingdom,GB,Wiltshire,,4945,4945,,6775.20,6811.4
Sturminster Newton,50.9261,-2.3051,United Kingdom,GB,Dorset,,4945,4945,,6074.10,6113.1
Broseley,52.612,-2.481,United Kingdom,GB,Shropshire,,4929,4929,,7681.30,7731.1
Shefford,52.037,-0.332,United Kingdom,GB,Central Bedfordshire,,4928,4928,,9142.60,9178.3
Oxshott,51.332,-0.356,United Kingdom,GB,Surrey,,4922,4922,,9069.00,
